ID;alim_grp_code;alim_ssgrp_code;alim_grp_nom_eng;alim_ssgrp_nom_eng;alim_code;alim_nom_eng;Water (g/100g);Protein (g/100g);Carbohydrate (g/100g);Fat (g/100g);Sugars (g/100g);glucose (g/100g);lactose (g/100g);has_lactose;has_seafood;has_egg
114;1;103;starters and dishes;dishes;25164;Osso buco;77.4;11.2;3.5;4.08;1.1;0;0;0;0;0
115;1;103;starters and dishes;dishes;25190;Chicken, Basque style, ;0;9.3;2.5;6.4;2;0;0;0;0;0
116;1;103;starters and dishes;dishes;25204;Chicken tagine, ;72.7;7.54;14.4;3.7;6.8;3.2;0.2;0;0;0
117;1;103;starters and dishes;dishes;25205;Chop suey (pork or chicken), ;0;5;7.8;3;0;0;0;0;0;0
118;1;103;starters and dishes;dishes;25511;Stuffed vegetables (excluding tomato);81.1;6.4;3.6;3;2.59;0;0;0;0;0
119;1;103;starters and dishes;dishes;10082;Mussels, in a shallot and white wine broth;76.5;10.3;7.43;2.24;1.05;0.3;0;0;0;0
120;1;103;starters and dishes;dishes;10083;Mussels, filled (fat, parsley and garlic…), ;57.5;9.56;4.43;24.8;0.3;0.2;0.3;0;0;0
121;1;103;starters and dishes;dishes;25037;Fish or seafood au gratin, intended to be cook, ;78.4;6.13;8.39;5.1;2.48;0.34;1.64;0;0;0
122;1;103;starters and dishes;dishes;25038;Fish and shrimp 'au gratin', previously frozen, ;78.2;6.69;5.28;7.5;1.6;0.28;0.75;0;0;0
123;1;103;starters and dishes;dishes;25077;Salmon with sorrel, ;71.2;8.36;7.43;7.65;0.58;0.3;0;0;0;0
124;1;103;starters and dishes;dishes;25086;Fish w bordelaise sauce, ;67.5;14.8;5.3;10.4;1.09;0.26;0.17;0;0;0
125;1;103;starters and dishes;dishes;25128;White fish with Provencal-style sauce (tomato sauce), ;83.6;9.31;3.1;2.3;2;0.79;0.1;0;0;0
126;1;103;starters and dishes;dishes;25140;White fish with Florentine-style sauce (spinach sauce), ;0;11.4;2.9;4.35;1.95;0;0;0;0;0
127;1;103;starters and dishes;dishes;25141;White fish with shallots, mussels and white wine sauce, ;0;11.5;2.2;2.8;0;0;0;0;0;0
128;1;103;starters and dishes;dishes;25142;White fish with mustard sauce, ;0;9.2;5.4;3.6;0;0;0;0;0;0
129;1;103;starters and dishes;dishes;25143;White fish with Parisian-style sauce (mushrooms sauce), ;84.2;9.16;3;3.25;0.86;0.1;0.1;0;0;0
130;1;103;starters and dishes;dishes;25145;White fish with tarragon sauce, ;0;8.8;4.2;2.8;0;0;0;0;0;0
131;1;103;starters and dishes;dishes;25146;White fish with sorrel sauce, ;78.6;11.8;3.9;5.5;1.65;0.14;0.7;0;0;0
132;1;103;starters and dishes;dishes;25210;Stuffed salmon, ;0;18.8;0.4;16.2;0.4;0;0;0;0;0
133;1;103;starters and dishes;dishes;25539;Fish on skewer;73.8;18;0.86;5.71;0.85;0;0;0;0;0
